X,Y,Z,R,G,B
-85.3016208557129,29.802718342895506,9.65900039672852,184,180,158
-85.30161322631837,29.802716435546873,8.1870002746582,191,188,170
-85.3016208557129,29.802718342895506,7.88800001144409,184,180,158
-85.3016208557129,29.802716435546873,6.61700010299683,184,180,158
-85.30160559692384,29.802718342895506,8.40900039672852,202,200,188
-85.3016208557129,29.802722157592772,9.84799957275391,179,178,154
-85.30161322631837,29.80272025024414,8.25699996948242,190,186,169
-85.3016208557129,29.802722157592772,8.05900001525879,179,178,154
-85.30167426147462,29.803055943603514,8.59799957275391,219,219,214
-85.30167426147462,29.803048314208983,7.05000019073486,219,218,214
-85.30167426147462,29.803048314208983,9.59799957275391,219,218,214
-85.30167426147462,29.803048314208983,8.19900035858154,219,218,214
-85.30168189086915,29.80304640686035,6.90999984741211,219,218,214
-85.30168189086915,29.803048314208983,10.10700035095215,219,218,214
-85.30166663208009,29.80304068481445,7.03800010681152,218,218,213
-85.30167426147462,29.80304068481445,7.87900018692017,219,219,214
-85.30167426147462,29.80303877746582,7.03800010681152,219,219,214
-85.30167426147462,29.80304068481445,9.59799957275391,219,219,214
-85.30168189086915,29.80303877746582,7.94000005722046,218,218,214
-85.30166663208009,29.803036870117186,7.98000001907349,218,218,213
-85.30167426147462,29.803034962768553,6.98899984359741,219,219,214
-85.30167426147462,29.803034962768553,8.02799987792969,219,219,214
-85.30168189086915,29.803034962768553,9.77799987792969,219,219,214
-85.30167426147462,29.803031148071288,7.50699996948242,218,219,214
-85.30167426147462,29.803029240722655,8.12899971008301,218,219,214
-85.30167426147462,29.803023518676756,7.73000001907349,218,218,214
-85.30167426147462,29.803023518676756,8.77799987792969,218,218,214
-85.30167426147462,29.80300635253906,6.00799989700317,218,217,213
-85.30166663208009,29.80299872314453,6.43699979782104,218,217,213
-85.30167426147462,29.802996815795897,6.47700023651123,216,216,212
-85.30165900268555,29.80299300109863,6.61700010299683,217,217,212
-85.30166663208009,29.80299300109863,7.35799980163574,217,217,212
-85.30166663208009,29.80299109375,6.68699979782104,217,217,212
-85.30166663208009,29.8029853717041,6.21799993515015,216,216,212
-85.30166663208009,29.8029853717041,7.30000019073486,216,216,212
-85.30165900268555,29.802981557006834,6.34000015258789,217,216,212
-85.30166663208009,29.802981557006834,6.51999998092651,216,216,212
-85.30168189086915,29.803055943603514,8.57699966430664,219,219,215
-85.30167426147462,29.80305403625488,7.8270001411438,219,219,214
-85.30168189086915,29.80304640686035,10.28999996185303,219,218,214
-85.30167426147462,29.803044499511717,9.57999992370605,219,218,214
-85.30167426147462,29.803044499511717,7.75699996948242,219,218,214
-85.30166663208009,29.803042592163084,7.12900018692017,218,218,214
-85.30167426147462,29.80304068481445,9.61999988555908,219,219,214
-85.30167426147462,29.80303877746582,8.03800010681152,219,219,214
-85.30167426147462,29.80303877746582,7.11700010299683,219,219,214
-85.30166663208009,29.80303877746582,6.93699979782104,218,218,213
-85.30167426147462,29.803031148071288,8.15999984741211,218,219,214
-85.30167426147462,29.803029240722655,7.46799993515015,218,219,214
-85.30168189086915,29.80302542602539,8.80000019073486,218,219,214
-85.30167426147462,29.803023518676756,7.71799993515015,218,218,214
-85.30167426147462,29.803008259887694,5.92799997329712,218,218,214
-85.30167426147462,29.803000630493163,6.35799980163574,218,217,213
-85.30165900268555,29.802996815795897,6.55900001525879,218,217,213
-85.30166663208009,29.80299109375,7.30900001525879,217,217,212
-85.30166663208009,29.802981557006834,6.51999998092651,216,216,212
-85.30165900268555,29.8029796496582,6.42799997329712,217,216,212
-85.30166663208009,29.802989186401366,7.43699979782104,217,217,212
-85.30167426147462,29.80301970397949,7.8270001411438,218,218,214
-85.30167426147462,29.803027333374022,8.65900039672852,218,219,214
-85.30167426147462,29.803036870117186,8.19900035858154,219,219,214
-85.30167426147462,29.803036870117186,9.97900009155273,219,219,214
-85.30168189086915,29.803044499511717,10.27799987792969,219,218,214
-85.30167426147462,29.803050221557616,10.05799961090088,219,218,214
-85.30165900268555,29.8029853717041,6.61700010299683,217,216,212
-85.30166663208009,29.80299109375,7.5770001411438,217,217,212
-85.30166663208009,29.80299872314453,7.80900001525879,218,217,213
-85.30167426147462,29.803000630493163,6.64799976348877,218,217,214
-85.30166663208009,29.80300635253906,6.65999984741211,218,217,213
-85.30167426147462,29.80300635253906,6.06899976730347,218,218,214
-85.30167426147462,29.803021611328123,7.83900022506714,218,218,214
-85.30167426147462,29.803031148071288,9.11999988555908,218,219,214
-85.30167426147462,29.803029240722655,7.81799983978271,218,218,213
-85.30167426147462,29.803044499511717,9.86900043487549,219,218,214
-85.30167426147462,29.803044499511717,7.66900014877319,218,218,214
-85.30168189086915,29.80305403625488,10.23799991607666,219,219,215
-85.30167426147462,29.80305212890625,8.82999992370605,219,219,214
-85.30153693237305,29.80329817687988,5.07800006866455,135,132,122
-85.30154456176759,29.80329817687988,5.82800006866455,157,156,140
-85.30153693237305,29.803292454833983,5.16900014877319,198,194,184
-85.30153693237305,29.803292454833983,5.84000015258789,146,150,137
-85.30154456176759,29.80329054748535,6.07800006866455,157,162,141
-85.30155982055665,29.803288640136717,5.90999984741211,178,182,168
-85.30152930297852,29.803288640136717,5.52899980545044,198,194,184
-85.30153693237305,29.803286732788084,4.74900007247925,198,194,184
-85.30153693237305,29.803286732788084,5.9980001449585,146,150,137
-85.30154456176759,29.80328482543945,6.09000015258789,157,162,141
-85.30153693237305,29.803279103393553,5.35799980163574,170,173,157
-85.30154456176759,29.803279103393553,5.98000001907349,170,173,157
-85.30155219116212,29.80327719604492,5.80000019073486,165,172,147
-85.30154456176759,29.80329817687988,5.66900014877319,135,132,122
-85.30153693237305,29.80329817687988,4.75799989700317,135,132,122
-85.30154456176759,29.80329054748535,6.15999984741211,157,162,141
-85.30153693237305,29.803288640136717,6.07800006866455,146,150,137
-85.30153693237305,29.803286732788084,5.21799993515015,198,194,184
-85.30155982055665,29.803286732788084,5.88000011444092,178,182,168
-85.30154456176759,29.80328482543945,6.14799976348877,165,172,147
-85.30153693237305,29.80328291809082,5.81899976730347,170,173,157
-85.30153693237305,29.803281010742186,4.98999977111816,193,188,175
-85.30155219116212,29.80327719604492,5.82800006866455,165,172,147
-85.30154456176759,29.803275288696288,5.27899980545044,179,180,158
-85.30153693237305,29.803273381347655,5.23999977111816,181,179,163
-85.30155219116212,29.803281010742186,5.66900014877319,165,172,147
-85.30154456176759,29.80328291809082,6.13899993896484,170,173,157
-85.30153693237305,29.80328482543945,6.00799989700317,193,188,175
-85.30155219116212,29.803288640136717,5.55999994277954,178,182,168
-85.30154456176759,29.80329054748535,5.88000011444092,157,162,141
-85.30153693237305,29.803292454833983,6.13899993896484,146,150,137
-85.30154456176759,29.80329626953125,5.57800006866455,157,156,140
-85.30154456176759,29.803273381347655,5.63899993896484,179,180,158
-85.30154456176759,29.803279103393553,6.13899993896484,170,173,157
-85.30155219116212,29.803281010742186,5.82800006866455,165,172,147
-85.30153693237305,29.803288640136717,6.38899993896484,146,150,137
-85.30154456176759,29.80329054748535,5.90999984741211,146,150,137
-85.30153693237305,29.80329626953125,5.71799993515015,135,132,122
-85.30157507934571,29.803721608276366,17.34000015258789,146,149,132
-85.30159033813477,29.803719700927733,13.57900047302246,148,150,135
-85.3015979675293,29.8037177935791,13.58800029754639,133,150,125
-85.30160559692384,29.803713978881834,10.97000026702881,135,158,117
-85.30160559692384,29.803715886230467,12.83800029754639,133,157,121
-85.30152930297852,29.803723515625,10.73799991607666,135,140,122
-85.30152930297852,29.803723515625,12.39000034332275,135,140,122
-85.30154456176759,29.803719700927733,8.80000019073486,106,126,113
-85.30153693237305,29.803721608276366,12.58800029754639,106,126,113
-85.30153693237305,29.803723515625,15.98099994659424,106,126,113
-85.30153693237305,29.803723515625,14.89900016784668,106,126,113
-85.30153693237305,29.803723515625,18.23900032043457,106,126,113
-85.30154456176759,29.803723515625,18.45000076293945,82,107,100
-85.30155219116212,29.803721608276366,17.33099937438965,82,107,100
-85.30155219116212,29.803721608276366,18.51099967956543,82,107,100
-85.30155982055665,29.803719700927733,15.91100025177002,89,112,111
-85.30155982055665,29.803719700927733,18.40099906921387,89,112,111
-85.30156744995118,29.8037177935791,18.38899993896484,102,110,103
-85.30157507934571,29.8037177935791,17.54999923706055,146,149,132
-85.30158270874024,29.803715886230467,16.70000076293945,145,162,131
-85.30160559692384,29.80371016418457,13.07900047302246,135,158,117
-85.30160559692384,29.803708256835936,11.0310001373291,133,157,121
-85.30152167358399,29.803715886230467,11.10099983215332,167,167,150
-85.30152167358399,29.803715886230467,12.43900012969971,167,167,150
-85.30152930297852,29.803713978881834,10.61900043487549,148,156,122
-85.30152167358399,29.8037177935791,17.42799949645996,165,168,150
-85.30152167358399,29.8037177935791,17.8799991607666,161,170,149
-85.30152930297852,29.803715886230467,18.10799980163574,148,156,122
-85.30154456176759,29.8037120715332,13.47799968719482,105,114,101
-85.30155219116212,29.80371016418457,11.78999996185303,105,114,101
-85.30153693237305,29.803715886230467,18.48900032043457,126,136,115
-85.30155982055665,29.80371016418457,12.83800029754639,134,143,129
-85.30154456176759,29.803713978881834,18.52899932861328,105,114,101
-85.30155219116212,29.8037120715332,18.45000076293945,134,143,129
-85.30156744995118,29.80371016418457,18.10799980163574,136,145,126
-85.30157507934571,29.803706349487303,14.60900020599365,156,165,133
-85.30157507934571,29.803708256835936,18.35799980163574,136,145,126
-85.30157507934571,29.803708256835936,17.34000015258789,141,157,132
-85.30158270874024,29.803706349487303,17.70000076293945,171,177,158
-85.30159033813477,29.80370444213867,15.36800003051758,171,177,158
-85.3015979675293,29.803702534790038,12.81099987030029,170,175,153
-85.3015979675293,29.803702534790038,15.50800037384033,170,175,153
-85.30160559692384,29.803700627441405,12.74100017547607,157,168,137
-85.30160559692384,29.803702534790038,15.48099994659424,157,168,137
-85.30152167358399,29.803713978881834,17.59000015258789,167,167,150
-85.30152930297852,29.8037120715332,17.79999923706055,148,156,122
-85.30153693237305,29.80371016418457,18.67799949645996,148,156,122
-85.30154456176759,29.80371016418457,18.60799980163574,126,136,115
-85.30155219116212,29.803708256835936,18.42799949645996,105,114,101
-85.30156744995118,29.80370444213867,13.73999977111816,159,164,148
-85.30155982055665,29.803706349487303,18.29999923706055,151,158,136
-85.30156744995118,29.803702534790038,14.64900016784668,159,164,148
-85.30156744995118,29.80370444213867,18.10799980163574,159,164,148
-85.30157507934571,29.803702534790038,17.63899993896484,156,165,133
-85.30158270874024,29.803700627441405,14.85900020599365,171,177,158
-85.30159033813477,29.803698720092772,15.42000007629395,170,175,153
-85.3015979675293,29.80369681274414,12.82900047302246,164,172,141
-85.3015979675293,29.80369681274414,15.56900024414063,180,179,158
-85.30160559692384,29.803694905395506,12.25899982452393,162,176,140
-85.30160559692384,29.80369681274414,15.52999973297119,164,172,141
